,Released,Movie,Genre,Budget,Revenue,Trailer,Year
0,2014-01-28 00:00:00,1,Documentary,,0.0,,2014
1,2012-06-08 00:00:00,1 Out Of 7,Drama,,0.0,,2012
2,1979-10-05 00:00:00,10,Romantic Comedy,,52134699.0,,1979
3,2008-03-07 00:00:00,"10,000 B.C.",Adventure,105000000.0,94784201.0,,2008
4,2013-08-31 00:00:00,10 Habits of Highly Effective People,,,0.0,,2013
5,2006-09-05 00:00:00,10 Minute Solution: Rapid Results Pilates,Instructional,,0.0,,2006
6,2007-08-24 00:00:00,10 Questions for the Dalai Lama,Documentary,,224546.0,,2007
7,2014-04-04 00:00:00,10 Rules for Sleeping Around,Romantic Comedy,,0.0,,2014
8,2014-12-31 00:00:00,10 Things I Hate About Life,Romantic Comedy,,0.0,,2014
9,1983-03-11 00:00:00,10 to Midnight,Action,,7175592.0,,1983
10,2012-09-14 00:00:00,10 Years,Drama,,203654.0,,2012
11,2000-03-24 00:00:00,100% Arabica,,,5428.0,,2000
12,2013-06-28 00:00:00,100 Bloody Acres,Black Comedy,,6388.0,,2013
13,2012-08-25 00:00:00,"1,000 Times More Brutal",Drama,,0.0,,2012
14,1996-11-27 00:00:00,101 Dalmatians,Comedy,,136189294.0,,1996
15,2001-07-25 00:00:00,101 Reykjavík,Comedy,,109277.0,,2001
16,2000-11-22 00:00:00,102 Dalmatians,Comedy,85000000.0,66941559.0,,2000
17,2011-12-31 00:00:00,105 Degrees and Rising,Drama,,0.0,,2011
18,2006-08-18 00:00:00,10th & Wolf,Drama,8000000.0,54702.0,,2006
19,2003-07-11 00:00:00,11'09''01 - September 11,Drama,,126694.0,,2003
20,2011-11-11 00:00:00,11-11-11,Horror,,38100.0,,2011
21,2005-08-12 00:00:00,11:14,Drama,6000000.0,0.0,,2005
22,2010-10-20 00:00:00,11/4/08,Documentary,,0.0,,2010
23,2011-12-31 00:00:00,11 Minutes,Drama,,0.0,,2011
24,2007-08-17 00:00:00,11th Hour,Documentary,,703464.0,,2007
25,2009-03-04 00:00:00,12,Thriller/Suspense,,125120.0,,2009
26,2012-12-31 00:00:00,12/12/12,Horror,,0.0,,2012
27,2013-11-15 00:00:00,12-12-12,Concert/Performance,,0.0,,2013
28,1957-04-13 00:00:00,12 Angry Men,Drama,340000.0,0.0,,1957
29,2012-12-31 00:00:00,The 12 Disasters of Christmas,Drama,,0.0,,2012
30,2012-10-09 00:00:00,12 Dogs of Christmas: Great Puppy Rescue,,,0.0,,2012
31,2012-12-11 00:00:00,12 Gifts of Christmas,Concert/Performance,,0.0,,2012
32,2009-08-07 00:00:00,12 in a Box,,,553.0,,2009
33,2010-11-23 00:00:00,12 Men of Christmas,Romantic Comedy,,0.0,,2010
34,2014-01-31 00:00:00,12 O'Clock Boys,Documentary,,80030.0,,2014
35,2009-03-27 00:00:00,12 Rounds,Action,20000000.0,12234694.0,,2009
36,2013-06-04 00:00:00,12 Rounds 2: Reloaded,Action,,0.0,,2013
37,2011-12-31 00:00:00,12 Wishes of Christmas,,,0.0,,2011
38,2010-11-05 00:00:00,127 Hours,Drama,18000000.0,18335230.0,Play,2010
39,2011-10-28 00:00:00,13,Action,,0.0,,2011
40,2013-04-02 00:00:00,13 Eerie,Horror,,0.0,,2013
41,2004-04-23 00:00:00,13 Going On 30,Comedy,30000000.0,57139723.0,,2004
42,2008-12-31 00:00:00,13 Months of Sunshine,Drama,,2237.0,,2008
43,2002-12-31 00:00:00,13 Moons,Drama,,0.0,,2002
44,2007-12-31 00:00:00,Las 13 Rosas,Drama,,0.0,,2007
45,2009-12-31 00:00:00,13 Semester,Comedy,,0.0,,2009
46,2014-04-18 00:00:00,13 Sins,Horror,,0.0,,2014
47,2006-07-28 00:00:00,13 Tzameti,Thriller/Suspense,,121390.0,,2006
48,2009-03-06 00:00:00,13B,,,12449.0,,2009
49,2009-12-31 00:00:00,13Teen,,,0.0,,2009
50,1999-08-27 00:00:00,The 13th Warrior,Action,125000000.0,32698899.0,,1999
51,2007-06-22 00:00:00,1408,Horror,22500000.0,71985628.0,,2007
52,1992-10-09 00:00:00,1492: Conquest of Paradise,Adventure,,7099531.0,,1992
53,2005-04-13 00:00:00,15,Drama,,3013.0,,2005
54,2008-12-31 00:00:00,15 ans et demi,Comedy,,0.0,,2008
55,2001-01-26 00:00:00,15 février 1839,Drama,,640790.0,,2001
56,2001-03-09 00:00:00,15 Minutes,Thriller/Suspense,42000000.0,24375436.0,,2001
57,2006-03-03 00:00:00,16 Blocks,Action,45000000.0,36895141.0,,2006
58,2011-12-31 00:00:00,16-LOVE,Drama,,0.0,,2011
59,2010-09-03 00:00:00,16 to Life,Romantic Comedy,1000000.0,11574.0,,2010
60,2010-12-31 00:00:00,16 Wishes,Comedy,,0.0,,2010
61,2009-04-07 00:00:00,1612,,,0.0,,2009
62,2011-12-31 00:00:00,1666,Horror,,0.0,,2011
63,2012-09-21 00:00:00,17 filles,Drama,,15002.0,,2012
64,2011-12-31 00:00:00,17 Miracles,,,0.0,,2011
65,2001-05-25 00:00:00,1732 Høtten,Thriller/Suspense,,0.0,,2001
66,1972-11-09 00:00:00,1776,Drama,4000000.0,0.0,,1972
67,1988-01-01 00:00:00,18 Again!,Comedy,,2567099.0,,1988
68,2003-05-02 00:00:00,18 ans après,Comedy,,25611.0,,2003
69,2010-05-21 00:00:00,180 South,,,31745.0,,2010
70,2011-12-31 00:00:00,1906,Drama,,0.0,,2011
71,1985-04-26 00:00:00,1918,Drama,,0.0,,1985
72,1979-12-14 00:00:00,1941,Comedy,32000000.0,34175000.0,,1979
73,2015-05-22 00:00:00,Tomorrowland,,,0.0,,2015
74,1988-11-18 00:00:00,1969,Drama,,5979011.0,,1988
75,2009-09-01 00:00:00,1981,,,753197.0,,2009
76,2000-08-18 00:00:00,1999 Cannes Intl. Adv Festival,,,6234.0,,2000
77,2013-05-03 00:00:00,1st Night,Documentary,,0.0,,2013
78,2011-06-28 00:00:00,2:13,Horror,,0.0,,2011
79,2010-12-31 00:00:00,2:22,,,0.0,,2010
80,2014-12-31 00:00:00,2 Bedrooms 1 Bath,Horror,,0.0,,2014
81,2012-08-10 00:00:00,2 Days in New York,Romantic Comedy,,633210.0,Play,2012
82,1996-09-27 00:00:00,2 Days In The Valley,Drama,,11101856.0,,1996
83,2011-12-31 00:00:00,2-Face,Comedy,,0.0,,2011
84,2003-06-06 00:00:00,2 Fast 2 Furious,Action,76000000.0,127120058.0,,2003
85,2005-10-07 00:00:00,2 For the Money,Drama,20000000.0,22991379.0,,2005
86,2013-08-02 00:00:00,2 Guns,Action,61000000.0,75612460.0,Play,2013
87,2012-12-31 00:00:00,2 Headed Shark Attack,Horror,,0.0,,2012
88,2010-10-25 00:00:00,2 Hot 2 Dance Mix,Concert/Performance,,0.0,,2010
89,2008-10-17 00:00:00,Los 2 lados de la cama,Comedy,,0.0,,2008
90,2000-11-03 00:00:00,"2 Männer, 2 Frauen - 4 Probleme!?",Comedy,,14940.0,,2000
91,2010-12-31 00:00:00,2 Million Stupid Women,,,0.0,,2010
92,2006-11-17 00:00:00,2 ou 3 choses que je sais d'elle,Drama,,104038.0,,2006
93,2014-12-31 00:00:00,"20,000 Days on Earth",Drama,,0.0,,2014
94,1916-12-24 00:00:00,"20,000 Leagues Under the Sea",Adventure,200000.0,8000000.0,,1916
95,1954-12-23 00:00:00,"20,000 Leagues Under the Sea",Adventure,5000000.0,28200000.0,,1954
96,2010-11-09 00:00:00,20 Anos De Exitos En Vivo,Concert/Performance,,0.0,,2010
97,2006-10-27 00:00:00,20 centiímetros,Comedy,,6635.0,,2006
98,1999-02-26 00:00:00,20 Dates,Comedy,66000.0,541636.0,,1999
99,2008-12-31 00:00:00,20-seiki shônen,Adventure,,0.0,,2008
100,2013-06-14 00:00:00,200 Cartas,Romantic Comedy,,9338.0,,2013
101,1999-02-26 00:00:00,200 Cigarettes,Romantic Comedy,6000000.0,6852450.0,,1999
102,2006-12-31 00:00:00,200 Pounds Beauty,,,0.0,,2006
103,2011-12-31 00:00:00,"20,00 Leagues Under the Sea",Adventure,,0.0,,2011
104,1968-04-02 00:00:00,2001: A Space Odyssey,Adventure,10500000.0,56700000.0,,1968
105,2010-07-20 00:00:00,2001 Maniacs: Field of Screams,,,0.0,,2010
